Domain,Score,DMARC,Age,Spamhaus,Talos,VT Clean,Abuse Score
campingworld.com,70,none,30.1,True,unknown,,
francetv.fr,70,none,30.4,True,unknown,,
prodesigns.com,70,none,24.5,True,unknown,,
rivals.com,70,none,27.6,True,unknown,,
oup.com,70,none,28.3,True,unknown,,
pixels.com,70,none,29.1,True,unknown,,
swp-berlin.org,70,none,25.9,True,unknown,,
nysed.gov,70,none,28.7,True,unknown,,
uproxx.com,70,none,19.6,True,unknown,,
volkswagen-group.com,70,none,29.5,True,unknown,,
googleusercontent.com,70,none,17.6,True,unknown,,
mitre.org,70,none,40.9,True,unknown,,
msstate.edu,70,none,37.7,True,unknown,,
fastcgi.com,70,none,27.8,True,unknown,,
arxiv.org,70,none,27.5,True,unknown,,
foxbaltimore.com,70,none,26.4,True,unknown,,
register.it,70,none,26.4,True,unknown,,
washingtoninstitute.org,70,none,29.9,True,unknown,,
cepal.org,70,none,28.8,True,unknown,,
utexas.edu,70,none,40.8,True,unknown,,
marriage.com,70,none,31.1,True,unknown,,
gameinformer.com,70,none,31.1,True,unknown,,
icann.org,70,none,27.8,True,unknown,,
today.com,70,none,28.2,True,unknown,,
gc.ca,70,none,25.7,True,unknown,,
amacad.org,70,none,31.7,True,unknown,,
speedrun.com,70,none,25.2,True,unknown,,
vanguardngr.com,70,none,26.5,True,unknown,,
ttu.edu,70,none,37.8,True,unknown,,
haproxy.com,70,none,19.1,True,unknown,,
unicode.org,70,none,33.9,True,unknown,,
americanaddictioncenters.org,70,none,12.3,True,unknown,,
parade.com,70,none,31.5,True,unknown,,
machinelearningmastery.com,70,none,12.6,True,unknown,,
ng.ru,70,none,11.7,True,unknown,,
thenation.com,70,none,31.3,True,unknown,,
spectator.com,70,none,30.1,True,unknown,,
webroot.com,70,none,30,True,unknown,,
tvguide.com,70,none,31.5,True,unknown,,
gimletmedia.com,70,none,11.7,True,unknown,,
airnav.com,70,none,30.1,True,unknown,,
acc.org,70,none,32.2,True,unknown,,
naver.com,70,none,28.8,True,unknown,,
ed.ac.uk,70,none,29.9,True,unknown,,
umanitoba.ca,70,none,25.7,True,unknown,,
scitechdaily.com,70,none,27.5,True,unknown,,
mediaite.com,70,none,17.8,True,unknown,,
tcf.org,70,none,28.8,True,unknown,,
meforum.org,70,none,26,True,unknown,,
burningman.org,70,none,28.4,True,unknown,,
yootheme.com,70,none,19.6,True,unknown,,
ottawacitizen.com,70,none,30.5,True,unknown,,
houstontx.gov,70,none,22.5,True,unknown,,
debian.org,70,none,27.3,True,unknown,,
real.com,70,none,29.5,True,unknown,,
metacritic.com,70,none,26.9,True,unknown,,
intercontinental.com,70,none,28.9,True,unknown,,
wwe.com,70,none,31.1,True,unknown,,
cranfield.ac.uk,70,none,29.9,True,unknown,,
cmbchina.com,70,none,29.1,True,unknown,,
easeus.com,70,none,21.8,True,unknown,,
instapaper.com,70,none,19.6,True,unknown,,
texasmonthly.com,70,none,31.4,True,unknown,,
marketrealist.com,70,none,14.1,True,unknown,,
maricopa.edu,70,none,35.9,True,unknown,,
cl.ly,70,none,16.4,True,unknown,,
thespec.com,70,none,25.5,True,unknown,,
polyu.edu.hk,70,none,31.5,True,unknown,,
journalstar.com,70,none,28.4,True,unknown,,
house.gov,70,none,28.7,True,unknown,,
ca.gov,70,none,28.7,True,unknown,,
uptodown.com,70,none,23.5,True,unknown,,
thegrocer.co.uk,70,none,29,True,unknown,,
veoh.com,70,none,21,True,unknown,,
podomatic.com,70,none,21.5,True,unknown,,
tinyletter.com,70,none,15.7,True,unknown,,
banyantree.com,70,none,30,True,unknown,,
cafonline.com,70,none,29,True,unknown,,
avrotros.nl,70,none,15.1,True,unknown,,
mccormick.com,70,none,31.5,True,unknown,,
99percentinvisible.org,70,none,16.1,True,unknown,,
cbs8.com,70,none,21.4,True,unknown,,
merchantcircle.com,70,none,21.7,True,unknown,,
dailycaller.com,70,none,17.1,True,unknown,,
sankei.com,70,none,29.2,True,unknown,,
twit.tv,70,none,21.1,True,unknown,,
appbrain.com,70,none,16.4,True,unknown,,
wamu.org,70,none,30.3,True,unknown,,
later.com,70,none,29.3,True,unknown,,
ted.com,70,none,31.6,True,unknown,,
unimib.it,70,none,27.3,True,unknown,,
orange.com,70,none,32.5,True,unknown,,
pinkbike.com,70,none,26.4,True,unknown,,
websitewelcome.com,70,none,23.1,True,unknown,,
ohchr.org,70,none,24.5,True,unknown,,
cepr.net,70,none,26.6,True,unknown,,
ets.org,70,none,31.7,True,unknown,,
reading.ac.uk,70,none,29.9,True,unknown,,
iheart.com,70,none,27.4,True,unknown,,
aish.com,70,none,28.8,True,unknown,,
kvue.com,70,none,32,True,unknown,,
fas.org,70,none,31.2,True,unknown,,
napaonline.com,70,none,30.1,True,unknown,,
uxdesign.cc,70,none,13.1,True,unknown,,
ky.gov,70,none,24.9,True,unknown,,
xdebug.org,70,none,22.8,True,unknown,,
lge.com,70,none,31.4,True,unknown,,
samsung.com,70,none,31.6,True,unknown,,
chunichi.co.jp,70,none,31.8,True,unknown,,
gnavi.co.jp,70,none,26.3,True,unknown,,
hktdc.com,70,none,26.2,True,unknown,,
technologynetworks.com,70,none,24.2,True,unknown,,
nus.edu.sg,70,none,29.8,True,unknown,,
ocnk.net,70,none,22.3,True,unknown,,
sdsc.edu,70,none,39.2,True,unknown,,
irishnews.com,70,none,30.6,True,unknown,,
laposte.fr,70,none,30.1,True,unknown,,
cbsnews.com,70,none,31.7,True,unknown,,
dailytimes.com.pk,70,none,24.6,True,unknown,,
nationaljournal.com,70,none,30.4,True,unknown,,
saude.gov.br,70,none,29.9,True,unknown,,
lin.ee,70,none,11.7,True,unknown,,
gamespot.com,70,none,30.4,True,unknown,,
brighttalk.com,70,none,21.7,True,unknown,,
photopea.com,70,none,13.6,True,unknown,,
withgoogle.com,70,none,17.6,True,unknown,,
faroutmagazine.co.uk,70,none,13.9,True,unknown,,
chanel.com,70,none,29.9,True,unknown,,
squid-cache.org,70,none,27.7,True,unknown,,
sfu.ca,70,none,25.7,True,unknown,,
usatoday.com,70,none,32.1,True,unknown,,
extremetech.com,70,none,26.1,True,unknown,,
medscape.com,70,none,27.3,True,unknown,,
ycombinator.com,70,none,21.2,True,unknown,,
generatepress.com,70,none,12.2,True,unknown,,
asahi-net.or.jp,70,none,32,True,unknown,,
uol.com.br,70,none,30.2,True,unknown,,
euronews.com,70,none,29.2,True,unknown,,
fedoraproject.org,70,none,22.7,True,unknown,,
jupyter.org,70,none,12.2,True,unknown,,
investing.com,70,none,31.3,True,unknown,,
statesman.com,70,none,31.6,True,unknown,,
postrelease.com,70,none,19.8,True,unknown,,
zawya.com,70,none,26.8,True,unknown,,
financemagnates.com,70,none,15.1,True,unknown,,
santacruzsentinel.com,70,none,26.8,True,unknown,,
dyson.com,70,none,28.6,True,unknown,,
uiuc.edu,70,none,40.9,True,unknown,,
georgetown.edu,70,none,39.6,True,unknown,,
iup.edu,70,none,36.2,True,unknown,,
maximintegrated.com,70,none,24.9,True,unknown,,
